ID	bait	description	symbol	publication	expected localization(s)	Entrez	BioGRID	HGNC	RefSeq	UniProt
119	OCLN		OCLN	Chris Go, et al. (submitted)	cell junction	100506658	111004	HGNC:8104	NM_002538	Q16625
120	PAFAH1B1		PAFAH1B1	Chris Go, et al. (submitted)	centrosome	5048	111085	HGNC:8574	NM_000430	P43034
121	PANX1		PANX1	Chris Go, et al. (submitted)	cell junction	24145	117295	HGNC:8599	NM_015368	Q96RD7
122	PARD3		PARD3	Chris Go, et al. (submitted)	cell junction	56288	121134	HGNC:16051	NM_019619	Q8TEW0
123	PARP1		PARP1	Chris Go, et al. (submitted)	nucleolus, nucleus	142	106652	HGNC:270	NM_001618	P09874
124	PCM1		PCM1	Chris Go, et al. (submitted)	centrosome	5108	111139	HGNC:8727	NM_006197	Q15154
125	PCNT		PCNT	Chris Go, et al. (submitted)	centrosome	5116	111146	HGNC:16068	NM_006031	O95613
126	PDHA1		PDHA1	Chris Go, et al. (submitted)	mitochondrial matrix	5160	111186	HGNC:8806	NM_000284	P08559
127	PDIA4		PDIA4	Chris Go, et al. (submitted)	endoplasmic reticulum lumen	9601	114966	HGNC:30167	NM_004911	P13667
128	PEX14		PEX14	Chris Go, et al. (submitted)	peroxisome	5195	111218	HGNC:8856	NM_004565	O75381
129	PEX3		PEX3	Chris Go, et al. (submitted)	peroxisome	8504	114076	HGNC:8858	NM_003630	P56589
130	PFN1		PFN1	Chris Go, et al. (submitted)	actin cytoskeleton	5216	111237	HGNC:8881	NM_005022	P07737
131	PHB2		PHB2	Chris Go, et al. (submitted)	mitochondrial inner membrane	11331	116459	HGNC:30306	NM_007273	Q99623
132	POLR1E		POLR1E	Chris Go, et al. (submitted)	nucleolus	64425	122173	HGNC:17631	NM_022490	Q9GZS1
133	POLR2C		POLR2C	Chris Go, et al. (submitted)	nucleoplasm, nucleus	5432	111428	HGNC:9189	NM_032940	P19387
134	PRPF8		PRPF8	Chris Go, et al. (submitted)	nuclear body, nucleoplasm, nucleus	10594	115842	HGNC:17340	NM_006445	Q6P2Q9
135	PRPH		PRPH	Chris Go, et al. (submitted)	intermediate filament	5630	111614	HGNC:9461	NM_006262	P41219
136	PTK2		PTK2	Chris Go, et al. (submitted)	cytoskeleton, plasma membrane	5747	111719	HGNC:9611	NM_005607	Q05397
137	PXMP2		PXMP2	Chris Go, et al. (submitted)	peroxisome	5827	111785	HGNC:9716	NM_018663	Q9NR77
138	Pxn		PXN	Chris Go, et al. (submitted)	cytoskeleton, plasma membrane	19303				
139	RAB11A		RAB11A	Chris Go, et al. (submitted)	recycling endosome	8766	114299	HGNC:9760	NM_001206836	P62491
140	RAB2A		RAB2A	Chris Go, et al. (submitted)	endoplasmic reticulum membrane, Golgi membrane	5862	111800	HGNC:9763	NM_001242644	P61019
141	RAB35		RAB35	Chris Go, et al. (submitted)	plasma membrane, recycling endosome	11021	116211	HGNC:9774	NM_001167606	Q15286
142	RAB3B_Nterm		RAB3B	Chris Go, et al. (submitted)	Golgi membrane, plasma membrane, recycling endosome	5865	111803	HGNC:9778	NM_002867	P20337
143	RAB4A		RAB4A	Chris Go, et al. (submitted)	early endosome, recycling endosome	5867	111805	HGNC:9781	NM_004578	P20338
144	RAB5A		RAB5A	Chris Go, et al. (submitted)	early endosome	5868	111806	HGNC:9783	NM_004162	P20339
145	RAB5C		RAB5C	Chris Go, et al. (submitted)	early endosome	5878	111816	HGNC:9785	NM_004583	P51148
146	RAB9A		RAB9A	Chris Go, et al. (submitted)	Golgi apparatus, late endosome, lysosome	9367	114768	HGNC:9792	NM_004251	P51151
147	RDX		RDX	Chris Go, et al. (submitted)	plasma membrane	5962	111894	HGNC:9944	NM_002906	P35241
148	REEP5		REEP5	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	7905	113637	HGNC:30077	NM_005669	Q00765
149	RHOB		RHOB	Chris Go, et al. (submitted)	late endosome, plasma membrane	388	106881	HGNC:668	NM_004040	P62745
150	RPL31		RPL31	Chris Go, et al. (submitted)	cytoplasm, nucleolus	6160	112079	HGNC:10334	NM_001098577	P62899
151	RPN1		RPN1	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	6184	112099	HGNC:10381	NM_002950	P04843
152	RPN2		RPN2	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	6185	112100	HGNC:10382	NM_002951	P04844
153	RPS20		RPS20	Chris Go, et al. (submitted)	cytoplasm, nucleolus	6224	112138	HGNC:10405	NM_001023	P60866
154	RPS24		RPS24	Chris Go, et al. (submitted)	cytoplasm, nucleolus	6229	112143	HGNC:10411	NM_001026	P62847
155	RPS6		RPS6	Chris Go, et al. (submitted)	cytoplasm, nucleolus	6194	112108	HGNC:10429	NM_001010	P62753
156	SASS6		SASS6	Chris Go, et al. (submitted)	centrosome	163786	127880	HGNC:25403	NM_194292	Q6UVJ0
157	SEC61B_Cterm	C-terminal BirA*	SEC61B	Chris Go, et al. (submitted)	endoplasmic reticulum lumen	10952	116152	HGNC:16993	NM_006808	P60468
158	SEC61B_Nterm	N-terminal BirA*	SEC61B	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	10952	116152	HGNC:16993	NM_006808	P60468
159	SEC62		SEC62	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	7095	112950	HGNC:11846	NM_003262	Q99442
160	SEPT10		SEPT10	Chris Go, et al. (submitted)	actin cytoskeleton	151011	127339	HGNC:14349	NM_144710	Q9P0V9
161	SEPT9		SEPT9	Chris Go, et al. (submitted)	actin cytoskeleton	10801	116015	HGNC:7323	NM_006640	Q9UHD8
162	SERBP1		SERBP1	Chris Go, et al. (submitted)	cytoplasm	26135	117571	HGNC:17860	NM_001018067	Q8NC51
163	SFXN1		SFXN1	Chris Go, et al. (submitted)	mitochondrial inner membrane	94081	125107	HGNC:16085	NM_022754	Q9H9B4
164	SQSTM1		SQSTM1	Chris Go, et al. (submitted)	cytoplasm, cytoplasmic vesicle	8878	114397	HGNC:11280	NM_001142298	Q13501
165	SSR1		SSR1	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	6745	112623	HGNC:11323	NM_001292008	P43307
166	STIL		STIL	Chris Go, et al. (submitted)	centrosome	6491	112382	HGNC:10879	NM_003035	Q15468
167	STIM1		STIM1	Chris Go, et al. (submitted)	endoplasmic reticulum membrane	6786	112662	HGNC:11386	NM_003156	Q13586
168	STX4		STX4	Chris Go, et al. (submitted)	plasma membrane	6810	112679	HGNC:11439	NM_004604	Q12846
169	STX6		STX6	Chris Go, et al. (submitted)	early endosome, Golgi membrane	10228	115522	HGNC:11441	NM_005819	O43752
170	STX7		STX7	Chris Go, et al. (submitted)	late endosome, lysosome	8417	114003	HGNC:11442	NM_001326578	O15400
171	SV40_NLS	nuclear localization sequence	SV40	Chris Go, et al. (submitted)	nucleoplasm, nucleus	29031019				
172	SYNE3_Cterm	C-terminal BirA*	SYNE3	Chris Go, et al. (submitted)	endoplasmic reticulum lumen	161176	127775	HGNC:19861	NM_152592	Q6ZMZ3
173	SYNE3_Nterm	N-terminal BirA*	SYNE3	Chris Go, et al. (submitted)	endoplasmic reticulum membrane, nuclear membrane	161176	127775	HGNC:19861	NM_152592	Q6ZMZ3
174	TERF2IP		TERF2IP	Chris Go, et al. (submitted)	nuclear body, nucleoplasm, nucleus	54386	119942	HGNC:19246	NM_018975	Q9NYB0
175	TJP1		TJP1	Chris Go, et al. (submitted)	cell junction	7082	112937	HGNC:11827	NM_003257	Q07157
176	TJP2		TJP2	Chris Go, et al. (submitted)	cell junction	9414	114809	HGNC:11828	NM_201629	Q9UDY2
177	TMOD1		TMOD1	Chris Go, et al. (submitted)	actin cytoskeleton	7111	112966	HGNC:11871	NM_003275	P28289
178	TMPO		TMPO	Chris Go, et al. (submitted)	nuclear membrane	7112	112967	HGNC:11875	NM_003276	P42166
179	TRAP1		TRAP1	Chris Go, et al. (submitted)	mitochondrial matrix	10131	115435	HGNC:16264	NM_016292	Q12931
180	TRIM36_Cterm	C-terminal BirA*	TRIM36	Chris Go, et al. (submitted)	microtubule cytoskeleton	55521	120695	HGNC:16280	NM_018700	Q9NQ86
181	TRIM36_Nterm	N-terminal BirA*	TRIM36	Chris Go, et al. (submitted)	microtubule cytoskeleton	55521	120695	HGNC:16280	NM_018700	Q9NQ86
182	TUBA1A		TUBA1A	Chris Go, et al. (submitted)	microtubule cytoskeleton	7846	113603	HGNC:20766	NM_006009	Q71U36
183	TUBA4A		TUBA4A	Chris Go, et al. (submitted)	microtubule cytoskeleton	7277	113128	HGNC:12407	NM_006000	P68366
184	TUBB		TUBB	Chris Go, et al. (submitted)	microtubule cytoskeleton	203068	128444	HGNC:20778	NM_178014	P07437
185	UTP4		UTP4	Chris Go, et al. (submitted)	nucleolus	84916	124353	HGNC:1983	NM_032830	Q969X6
186	VAPA		VAPA	Chris Go, et al. (submitted)	endoplasmic reticulum lumen	9218	114651	HGNC:12648	NM_003574	Q9P0L0
187	VASP		VASP	Chris Go, et al. (submitted)	cytoskeleton, plasma membrane	7408	113251	HGNC:12652	NM_003370	P50552
188	VCL		VCL	Chris Go, et al. (submitted)	cytoskeleton, plasma membrane	7414	113257	HGNC:12665	NM_003373	P18206
189	VIM		VIM	Chris Go, et al. (submitted)	intermediate filament	7431	113272	HGNC:12692	NM_003380	P08670
190	ZFPL1		ZFPL1	Chris Go, et al. (submitted)	Golgi membrane	7542	113374	HGNC:12868	NM_006782	O95159
191	ZNF330_target	AA 1-33 signal sequence	ZNF330	Chris Go, et al. (submitted)	nucleolus	27309	118131	HGNC:15462	NM_014487	Q9Y3S2
192	ZYX		ZYX	Chris Go, et al. (submitted)	cell junction, cytoskeleton	7791	113569	HGNC:13200	NM_003461	Q15942
