Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
22,11,0.3055,16.80,334.4,0.04502,0.999969,"Q9NRZ5 O43808 Q16581 Q6P1Q0 P19075 O95858 P01871 P47871 Q643R3 Q96MH6 Q8N6M3"
23,61,0.3028,554.2,2406,0.1798,1.00000,"P07910 Q05519 Q9Y383 Q96DU9 O75400 Q15287 Q6ZUT1 Q9NQ29 Q9NYF8 P30414 Q8N2M8 Q08170 Q8TAD8 Q16629 Q9Y2W1 Q07955 Q13595 Q6PJT7 Q86VM9 Q9Y3X0 Q9UKV3 Q53F19 P78362 Q9UKJ3 Q9H307 Q9ULR5 O60508 P49761 O15234 P62995 Q9BRL6 Q8WXF0 O75494 P49760 P08621 P26368 P49759 Q96MU7 Q2KHN1 Q9HCS7 Q9BZJ0 O60306 Q96E39 Q13427 O60812 O15504 Q9UKM9 Q92615 O00422 Q9UQ35 Q7Z6E9 O75152 P84103 Q12926 Q1KMD3 Q9NWB6 Q9H000 Q8TB72 Q9H074 Q13242 Q9NYS7"
24,4,0.3416,2.049,39.70,0.04120,0.992931,"O15347 Q9H1E3 Q71DI3 Q9H814"
25,30,0.3180,138.3,352.7,0.2511,0.668633,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 O75177 Q92922 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 Q92782 O96019 Q15532 Q9BXU2 Q15620 Q14002"
26,17,0.3019,41.06,521.5,0.06884,0.999934,"Q9UN86 Q13283 Q8WWM7 Q99700 P60866 Q8NC51 P11940 Q13310 Q8ND56 Q04637 Q9P2D0 Q9C0B0 P23588 Q14157 Q9UKY7 Q14694 Q9BY12"
27,11,0.3018,16.60,598.0,0.02608,0.999750,"Q9NRD5 Q9UJV3 Q13895 Q7Z4V0 Q9NQZ8 Q8TCE9 Q14005 P51114 Q8NDH6 Q9NYL2 Q6ZN57"
28,245,0.2381,7116,8132,0.4522,0.00000,"Q6ZN55 Q53T94 P62829 O43159 Q659C4 Q9BRU9 P61313 Q68D10 Q75WM6 O15479 P60866 P27635 P18077 Q8WYQ5 Q6NSZ9 Q9ULW3 Q9NZM5 Q66K89 P46781 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q07020 P40429 Q02539 P50914 Q9UL40 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 Q08170 P62888 P35268 P62424 P62917 P42766 Q13247 P78362 Q9HCE1 P11940 Q9UFB7 P62913 Q9HAN9 O15213 O00567 Q9NX58 P62241 P79522 Q9NQV6 Q1ED39 O15042 Q9BQG0 Q9H0A0 Q99848 Q96ME7 Q13206 Q13823 Q14692 Q15050 O76021 Q5SSJ5 Q5VWQ0 Q8N9T8 Q96BT3 Q9BYG3 Q49A26 Q6PCB5 Q99676 O60765 P46087 O96028 O15381 P49711 Q9Y3T9 Q5JTH9 Q8TDN6 Q00839 Q8IUF8 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 Q92913 P0C0S8 P15880 P36578 Q9Y2T7 Q4G0J3 P16401 P16402 Q9H9Z2 Q7Z2W4 P62906 Q9UNX3 Q9UJV8 P0C5Z0 Q12906 Q6P158 Q9UHB9 P08708 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 P67809 Q9ULD5 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q9BSC4 Q03701 Q9NVP1 Q9BZE4 O95625 Q14690 Q9GZR7 Q8WTT2 P18621 P62701 P42677 Q9H8H2 Q8NB50 Q96LZ2 Q3KP31 Q8IY81 Q8NDF8 P60228 Q14152 Q86V59 Q9BRJ6 Q99575 Q13435 P62854 Q15361 Q53GS7 O76094 Q96K58 Q9Y4C8 Q969Q0 P37108 P62851 Q15573 Q15572 O75533 Q71F23 P61254 P62081 P46782 P05387 O95793 Q9NXG2 Q96HE9 P30050 Q9H6W3 P22492 Q9H116 P17026 P10412 Q6IQ21 P62750 Q13243 Q9NUL3 Q9NUD5 P78563 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 Q8N5P1 P05386 Q6PK04 P46783 Q9H6F5 Q9H6S0 O75683 P62841 Q13601 P62910 Q9UHA3 Q9UII4 P57071 Q9H7B2 Q00577 Q9NQ55 Q96G21 Q9BXY0 P18124 Q00987 P08865 Q5VYS8 Q14512 Q15646 P62280 P16989 Q7L3S4 P55075 Q9BQ75 P61353 P62891 Q6DKI1 Q92901 Q96GM8 O00566 P63173 P25398 P83731 Q8IZA3 Q2Q1W2 P62633 Q9H9Y2 Q12849 Q5SVQ8 Q9NY61 P62269 P62861 Q96L21 P62273 Q9BY67"
29,6,0.3049,4.573,176.8,0.02365,0.984681,"Q9H2P9 Q13501 Q9NZ52 Q8ND24 Q8N0X7 P48506"
30,20,0.3001,57.03,460.8,0.1022,1.00000,"P30536 P36542 P06576 P18859 P48047 P21796 O75947 P00403 P24539 O75964 P30049 Q9UNL2 P45880 Q9Y277 P39656 P51571 P35232 P25705 P56385 Q9H0U3"
31,5,0.3210,3.210,254.0,0.01201,0.989214,"P20338 Q8NEG0 Q9Y6D5 P52594 O95081"
32,5,0.3801,3.801,25.65,0.09635,0.989214,"P16118 Q16877 O60825 Q9HBI1 Q16875"
33,13,0.3035,23.67,250.2,0.07894,0.999834,"O60282 P33176 Q9NSK0 Q9H0B6 Q07866 P12524 Q9UPV9 Q12840 O60296 Q8NFH3 O14977 Q6P597 P55786"
34,11,0.3105,17.08,206.0,0.06968,0.998739,"Q13352 Q9H3R5 Q96BT3 Q6IPU0 Q7L2Z9 Q8N2Z9 Q92674 Q96H22 Q71F23 A8MT69 Q9BU64"
35,9,0.3081,11.09,417.4,0.02485,0.999604,"Q9BXW6 O95292 Q9P0L0 O75410 P11712 Q8TDY2 Q9P2D3 A6ND36 A1A519"
36,8,0.3004,8.410,362.0,0.02176,0.999530,"Q15427 Q08379 P17036 Q9BUZ4 Q6ZU65 Q5T481 Q01664 A6QL64"
37,3,0.5551,1.665,11.04,0.08903,0.808633,"Q9UPZ6 Q9Y5Y7 Q86WI0"
38,42,0.2541,218.7,865.7,0.1872,0.999634,"P62826 Q8NFH5 P63279 P18754 P61769 Q9BW19 P49790 Q14974 P49792 P57740 O00629 Q15398 Q5SRE5 Q69YH5 P0DJD0 P52948 Q53H80 P78406 Q9NRG9 Q9BVL2 O75694 Q99567 Q92621 Q9BW27 Q99666 Q8N1F7 P61956 Q12769 Q8WUM0 Q96SK2 A8CG34 O14715 E9PJ23 Q8NFH3 P0DJD1 P35658 P46060 Q8TEM1 Q96EE3 Q8NFH4 Q9UNZ5 Q9UF83"
39,5,0.3495,3.495,27.44,0.08539,0.928164,"P35609 P28222 Q8IY33 Q9H987 A8MYP8"
40,24,0.3036,83.79,1187,0.06354,1.00000,"Q4VCS5 P61158 Q07157 O95835 Q8TEW0 Q9UDY2 Q8NHQ8 Q9P2M7 Q5HYK7 A6NKD9 Q6XZF7 Q9BY89 O60292 Q9UGP4 Q9P2F8 O43166 Q96KQ4 P35221 P35222 P78312 O60299 Q5T0N5 Q9P266 Q96QZ7"
41,14,0.3029,27.57,247.3,0.09100,0.948570,"P62993 Q5HYW2 Q07912 O00401 O43639 Q92558 Q9BYN7 Q8TF74 Q96P48 O43516 P16333 O43150 Q6ZUJ8 A6NGB9"
42,5,0.3245,3.245,50.00,0.05131,0.996692,"Q92794 Q96T23 Q5T7N2 P05114 Q9NP80"
43,30,0.2399,104.3,618.8,0.1332,0.999959,"Q9NR22 Q9NYF8 Q9Y2W1 Q6PJT7 Q9Y3X0 Q53F19 P84090 Q9BY77 Q8NI27 Q6I9Y2 O43896 Q86V81 Q96EV2 Q13838 O75152 Q99873 Q96QD9 Q9Y3Y2 Q96FV9 Q13769 Q99698 P82979 Q96J01 O00148 Q86W42 Q8N9M1 Q9NYS7 Q86U42 Q6P6C2 P47712"
44,16,0.3106,37.27,711.9,0.04771,0.999999,"Q9NQG5 O00267 Q9Y5B9 Q08945 Q6PD62 O00567 Q8N7H5 Q92541 Q5VT52 Q6P1J9 Q96BT3 O14646 P62487 Q8WVC0 Q9BRJ6 Q96ST2"
45,30,0.3000,130.5,1522,0.07621,1.00000,"Q96LB3 Q9BT25 Q96CS2 Q5T8D3 Q13561 P08727 Q9P0V9 P05787 O14777 Q6XZF7 Q99871 Q8TEP8 Q9NS87 Q86UW6 Q99550 Q9Y5A9 Q7Z739 Q8N137 Q15154 P05783 Q7Z4H7 Q99567 Q68CZ6 Q96DN5 O94927 Q9H6D7 A7MCY6 Q8N5U6 Q9NVX0 O43164"
46,12,0.3257,21.50,167.8,0.1008,0.998995,"P52926 Q01831 P49916 Q9BUH6 P12956 P06746 Q6FI13 Q8IV63 Q8IW19 Q04743 Q9NUW8 Q9UGN5"
47,14,0.3026,27.53,139.2,0.1414,0.953238,"P11177 O14713 P09622 Q15120 O00330 Q9UBN7 Q02218 P10515 O75306 P36957 P82909 Q9ULD0 Q7L3T8 Q8N3R3"
48,41,0.2391,196.0,497.0,0.2529,0.701467,"Q9UKJ5 Q9BYR3 Q5T752 Q5T753 Q5TA79 Q9BYQ0 Q6L8H2 Q9BYR2 Q6L8G4 Q701N4 Q9BYQ6 Q9BQ66 P60370 P60412 Q9BYR5 P26371 Q8IUG1 Q9BTY2 Q7Z417 Q5T7P2 Q5TA78 Q2TAL6 Q5T7P3 P60331 Q9BYP8 Q9BYS1 Q6L8G8 Q5TA81 Q5TA82 P0C7H8 Q9BYR9 P60371 O14633 Q5T751 Q9UGC6 Q5TCM9 Q5TA77 Q5T754 Q9UGL9 Q5TA76 P82987"
49,14,0.3007,27.36,456.8,0.05342,0.999980,"P61964 Q9UMN6 Q03164 Q9UBL3 Q9GZS1 O75461 Q8IWI9 P37275 Q14686 O14686 Q96IK1 Q15291 Q6ZW49 Q9UPS6"
50,4,0.3355,2.013,33.41,0.04636,0.903035,"Q96I25 Q9BZL4 Q8IYT3 Q15695"
51,3,0.5703,1.711,14.88,0.07572,0.985452,"Q5VZF2 Q9NUK0 Q9NR56"
52,4,0.3384,2.031,25.85,0.05659,0.992931,"Q9NVM6 Q96PM5 Q9NWV4 O60870"
53,5,0.3001,3.001,175.3,0.01594,0.952654,"Q8TBB1 Q9H773 Q5T481 Q13094 Q6P3S1"
54,13,0.3004,23.43,386.3,0.05377,0.999993,"A0PK00 Q16581 Q9UNG2 Q92633 Q06432 Q9H8X2 O95858 P16871 P32971 O75298 P48960 Q8NHS3 O95136"
55,5,0.3382,3.382,205.2,0.01547,0.661948,"Q15323 O43247 Q7Z7H3 Q9BUD6 Q5MCW4"
56,10,0.3054,13.74,250.3,0.04838,0.998195,"Q9Y2E5 Q9UK22 Q9NRD1 P42785 P11717 P51688 Q02083 O00754 P54802 Q9UJA9"
57,51,0.2852,363.6,1701,0.1678,1.00000,"Q01974 Q9UQM7 Q9NWB1 Q08117 A5D8V6 Q8IUC2 Q3LI64 Q3LI72 Q9Y2Y4 Q03989 Q14847 Q7Z6R9 Q9H0E2 Q3LI66 Q96K80 Q92567 Q8IZ26 P86481 P86496 P86480 P86479 P86478 Q6NXG1 O14503 Q6P1W5 Q93062 P19801 A1KXE4 O75593 Q6ZRY4 Q96LM6 Q15038 Q5BKX5 Q16633 A8MV65 P78337 Q92734 Q5T6F2 O75909 Q01085 Q9BZC1 Q9Y5V3 P0C7T5 Q3SYF9 Q8IUC3 Q9BQY4 O95231 Q99697 Q7Z4W3 Q9BZE0 Q9UM63"
58,8,0.3053,8.547,139.8,0.05202,0.999026,"P11055 P25685 Q99615 Q8TCY9 Q14190 Q9BQ87 P34932 Q9UDY4"
59,26,0.2550,82.87,347.4,0.1718,0.973245,"Q5HYW2 Q8WUW1 Q96F07 Q9Y6W5 Q8NB15 O00401 Q7L576 Q8IZP0 Q9ULV8 Q8TE68 Q9P206 Q9Y2A7 Q92558 Q9UPY6 Q8IWW6 Q8TF74 O94856 P16333 P55160 Q5SYE7 Q6NT52 Q400G9 Q56UQ5 O43150 A6NGB9 Q9NZT2"
60,4,0.3562,2.137,48.39,0.03651,0.992931,"O75074 Q8N2A8 Q8IYN0 P40145"
61,5,0.3103,3.103,33.23,0.06698,0.996692,"P36383 Q6ZP29 Q08AH1 Q86VW1 Q96PP8"
62,3,0.6813,2.044,12.62,0.09889,0.985452,"P16118 Q16877 Q16875"
63,10,0.3016,13.57,345.8,0.03577,0.999709,"O76011 Q15911 Q5W5X9 A8MTQ0 Q69YQ0 Q86UV7 Q8N1L9 Q5T0L3 Q68DK2 Q8N7B9"
64,11,0.3032,16.67,431.7,0.03545,0.999909,"Q8N684 Q6NYC1 Q9H0G5 Q93009 O43809 Q8WUA2 Q8IX18 Q16630 Q66PJ3 Q6ZSI9 Q96N46"
65,11,0.3027,16.65,336.2,0.04442,0.999969,"Q8NAF0 Q14767 Q66K89 Q04721 Q9BV97 O75467 Q96C28 Q6AW86 Q8N2S1 A6NFI3 Q7L3S4"
66,6,0.3004,4.506,53.63,0.06424,0.764803,"Q13952 Q9BPW4 P32519 Q8N365 Q02086 O14901"
67,5,0.3453,3.453,211.4,0.01535,0.996692,"P50552 Q5T0Z8 O15056 Q9C0B0 Q9Y6U3"
68,8,0.3067,8.586,177.5,0.04249,0.999679,"Q9HB07 O43759 P08247 O60664 Q8WV19 Q96T60 Q13596 Q9ULP0"
69,55,0.2933,435.6,1360,0.2285,0.990896,"Q9BW85 P41223 P62306 Q15427 Q9Y5U2 Q15428 O60508 O94906 Q15393 Q6P2Q9 O75643 P62318 P62316 P62304 P62314 Q9HCS7 Q9BZJ0 O60306 Q9BRX9 Q13573 Q8WUD4 Q9UNP9 Q9ULR0 O95926 P14678 O43719 O43290 Q9BRR8 Q96AT1 Q96NB3 Q69YN2 P62308 O43172 Q56P03 Q9Y312 Q15029 P08579 P63162 P09661 O43660 Q9UMS4 Q15459 Q12874 Q86SE5 Q7RTV0 Q96DI7 Q99459 Q9H875 Q9H5Z1 O75533 Q6IEG0 Q96LT9 Q9BQ65 Q8IYT2 O95149"
70,8,0.3411,9.550,104.5,0.07343,0.999530,"Q96CS7 Q9BSL1 P0CG48 Q9BZV1 Q8N6M9 Q8N3F0 Q5VVQ6 Q9NWF9"
71,49,0.2913,342.6,1592,0.1686,0.999197,"Q9UPN4 O95684 Q49A88 Q66GS9 O95835 Q15468 Q9P2S5 Q86SQ7 O95613 Q8IUZ0 O43303 Q8TDM6 O14777 Q5VT06 Q9HC77 Q8IW35 Q8N0Z3 Q2M1P5 Q9UPS8 Q96M89 O94986 Q86T90 Q9P209 Q15154 Q9C099 Q96SN8 Q6UVJ0 O75665 Q8N960 Q86YT6 Q9BR77 P13861 Q2KHM9 Q96LP2 Q1MSJ5 Q9Y2D8 Q9C0D2 Q969Q6 Q6EMB2 O15078 Q96DN5 Q5T9S5 Q96KV7 Q96NB1 Q9Y6R9 Q96RK4 Q6ZU80 Q4AC94 Q68CZ1"
72,5,0.3305,3.305,27.82,0.08037,0.582734,"Q8IWF9 Q9NTZ6 Q8NH05 Q8N8M0 P16284"
73,5,0.3155,3.155,73.94,0.03623,0.265435,"Q5JX71 Q02094 Q86WK9 Q7Z7B8 Q96I45"
74,4,0.3447,2.068,140.0,0.01379,0.992931,"Q9BXR6 Q9Y282 Q92935 Q6PML9"
75,4,0.3871,2.322,24.09,0.06748,0.992931,"Q96MG2 Q8IUQ4 Q8TEC5 O43255"
76,19,0.3025,51.73,196.3,0.1809,0.971129,"Q9P2B7 P30260 Q9UJX3 Q96DE5 Q9UJX4 Q9UJX5 Q9H1A4 Q8NHZ8 Q9UM11 Q9BS18 Q9H6Y5 O95922 Q6PH81 Q9UKT4 P51955 Q9UM13 Q8N726 P01210 Q9UKI9"
77,7,0.3011,6.323,69.40,0.07047,0.920068,"P50895 Q0VDD7 Q92733 Q6PJG9 Q9H0I9 P03951 Q8NEG5"
78,3,0.5091,1.527,15.17,0.06728,0.959572,"P05089 P78540 O60613"
79,14,0.3004,27.33,491.9,0.04995,0.999987,"Q9P2A4 O43482 O14964 Q9ULV5 Q6KB66 Q13515 P35900 P12035 Q86UV7 P02533 Q7Z3B4 O76013 Q2M2I5 Q5HY92"
80,3,0.4928,1.478,6.544,0.1054,0.808633,"O75157 Q5VWW1 O14511"
81,5,0.3433,3.433,166.1,0.01913,0.969949,"B2RXH8 Q5TAX3 O60870 Q9H6T0 Q9UGR2"
82,4,0.3057,1.834,31.98,0.04386,0.992931,"P49841 Q9UMS6 Q9UBK8 Q6ZVK8"
83,10,0.3135,14.11,233.2,0.05278,0.998195,"P02792 O60333 P41208 Q12798 Q0VDD8 Q12756 Q9BUY7 O94983 Q96NY9 A8K8P3"
84,9,0.3003,10.81,318.1,0.03116,0.999853,"Q99633 Q7Z699 Q63ZY3 Q86Y26 Q9H2G9 Q9NX63 Q9ULU8 O76083 Q86Y33"
85,7,0.3239,6.802,45.76,0.1022,0.500000,"O15547 Q9UDY4 O75953 Q9Y574 Q3MJ13 Q86W28 P51854"
86,12,0.3102,20.47,105.3,0.1367,0.960874,"Q8NA72 P41208 Q8IX29 Q12798 Q0VDD8 Q5VW00 O14874 Q9BUY7 Q2NKQ1 O15182 Q70CQ1 A8K8P3"
87,9,0.3202,11.53,60.61,0.1279,0.996903,"Q9H008 Q96EY8 P07902 P0DPK4 P49247 Q9UHV2 Q96B42 P01834 Q9H3S4"
88,7,0.3002,6.304,227.1,0.02548,0.998353,"A6NEM1 Q96BZ8 Q7RTU4 P17661 Q8TC57 Q9Y2I9 Q96S90"
89,7,0.3166,6.649,177.6,0.03353,0.996355,"P27824 Q93086 Q9H2A9 Q6PK18 Q9UBS3 Q9UKU6 Q99999"
90,17,0.3125,42.50,367.7,0.09567,0.999997,"P49750 P23246 O14979 P35637 Q92841 P52272 P22626 P51991 P26599 Q92804 Q07666 O43823 P24752 Q01844 Q15233 P31942 Q13151"
91,67,0.3006,664.6,2944,0.1776,0.999094,"Q10567 P46940 P62140 P63010 Q9ULV4 Q13492 P09496 Q00610 Q5M775 O14976 Q9NYZ3 Q9Y4I1 Q9NQW6 Q76I76 Q15811 O15027 Q2M2I8 Q96D71 Q9Y6I3 Q59EK9 Q8N5S1 P61160 Q96CW1 Q9UHB6 Q9NYL9 Q16643 P47755 Q92614 Q96H55 P21333 P35579 O00159 Q9UM54 P59998 Q8WXE9 O95782 P09497 P42566 P53675 P98082 Q27J81 Q6P4F7 Q8N3V7 Q8N556 Q9BPX5 Q9NQX4 Q9NSY1 P35580 P27482 Q15311 O75369 O94973 Q14677 O75146 Q9UBC2 P53992 Q9NZM3 Q96FJ0 P53680 O00443 Q0JRZ9 Q9NVZ3 Q9BQI5 Q8TEH3 O14974 O95630 Q96QS3"
92,28,0.3003,113.5,663.0,0.1364,0.999890,"P50991 Q14990 Q13033 Q13117 A7E2Y1 P78371 P62873 O00743 Q9BUR4 P50990 Q99832 Q92526 P40227 P17987 P48643 P49368 Q9GZS3 O00628 O43815 P60510 P78318 Q8TDG2 Q6PCD5 Q9BQA1 Q96J01 Q96MX6 O43684 Q8IYD2"
93,26,0.3956,128.6,298.3,0.2684,0.374382,"O95602 Q9BT43 P19388 Q9BUI4 P61218 Q9HCN4 Q9UHW5 P62875 O75575 P53803 P52434 Q9Y2Y1 P0DPB6 P0DPB5 Q9Y535 Q9H9Y6 O14802 Q9NVU0 Q9NW08 P05423 Q9NYV6 O15318 Q9H1D9 Q9P1U0 Q3B726 Q9H063"
94,8,0.3228,9.039,222.3,0.03655,0.999026,"P02808 Q96DZ9 Q9NRZ5 A8MZ59 Q9ULP0 P12318 P38435 Q96P31"
95,5,0.3065,3.065,146.0,0.01927,0.996692,"P25815 P52657 O75044 Q9UN74 O95382"
96,7,0.3052,6.409,208.4,0.02802,0.999299,"Q0VD86 O43320 P51687 P55789 Q9BXU0 Q9BSY4 Q8N4Q1"
97,5,0.3408,3.408,170.4,0.01854,0.989214,"O75113 P08670 P49842 A6ND36 Q53GG5"
98,6,0.3124,4.687,66.72,0.05619,0.998474,"Q9NVM6 O94762 O60869 Q96PM5 Q7Z478 O60870"
99,10,0.3119,14.03,195.5,0.06114,0.999147,"Q09666 O00151 P16949 P04792 Q9HAV7 P29692 P24534 P38646 P55809 Q9H910"
100,23,0.3003,75.98,391.5,0.1480,0.998379,"P36969 P68106 P49773 P61604 P37802 Q01469 Q9UI15 Q5MJ07 P29401 P00558 P33316 P15259 Q01995 P18669 P06733 P60174 P09104 P04075 P11172 P04406 P13929 P07738 Q04760"
101,10,0.3169,14.26,124.0,0.09010,0.989433,"Q5TA45 Q8N5J4 Q9BQ15 Q9NV88 Q96HW7 Q96SY0 Q6P9B9 Q9NVM9 Q75QN2 Q96N11"
102,5,0.3191,3.191,144.0,0.02030,0.969949,"P14373 Q12774 Q13131 P32239 P84550"
