2,mean.cos.sim
E0CX11Q13283,0.2584076
E5RHQ5Q13283,0.21763265
E5RIL1Q13283,0.02766968
E5RJM6Q13283,0.084909335
E7ETH6Q13283,0.19598374
E9PAV3Q13283,0.6269202
E9PI22Q13283,0.1843602
E9PJ23Q13283,0.6228961
E9PQX1Q13283,0.060142845
E9PRG8Q13283,0.51782364
F8W0I5Q13283,0.21845977
F8WCM5Q13283,0.0
H3BRN8Q13283,0.31468982
H3BU77Q13283,0.33569974
H3BUK9Q13283,0.30043632
H3BV12Q13283,0.3157289
I6L899Q13283,0.41032258
L0R6Q1Q13283,0.30912906
M0R2J8Q13283,0.24631183
O00115Q13283,0.09413429
O00116Q13283,0.45060515
O00124Q13283,0.33080193
O00139Q13283,0.5992843
O00141Q13283,0.29107976
O00142Q13283,0.5011277
O00148Q13283,0.55176395
O00151Q13283,0.5386077
O00154Q13283,0.6814394
O00155Q13283,0.25075114
O00159Q13283,0.65432835
O00160Q13283,0.27129564
O00161Q13283,0.20454025
O00165Q13283,0.61265796
O00167Q13283,0.5981779
O00168Q13283,0.14654276
O00170Q13283,0.24728444
O00178Q13283,0.54696214
O00180Q13283,0.26854563
O00182Q13283,0.23538613
O00186Q13283,0.355353
O00189Q13283,0.4770527
O00192Q13283,0.23431508
O00193Q13283,0.610953
O00194Q13283,0.3722219
O00203Q13283,0.61425567
O00204Q13283,0.2300444
O00212Q13283,0.18395929
O00213Q13283,0.55533683
O00214Q13283,0.22356805
O00217Q13283,0.27865824
O00219Q13283,0.14395797
O00220Q13283,0.25150257
O00221Q13283,0.4722252
O00230Q13283,0.0
O00231Q13283,0.41920948
O00232Q13283,0.54128253
O00233Q13283,0.4703576
O00238Q13283,0.13135614
O00241Q13283,0.30196443
O00244Q13283,0.6025418
O00253Q13283,0.25573134
O00255Q13283,0.5768597
O00257Q13283,0.6485821
O00258Q13283,0.20751974
O00264Q13283,0.41516787
O00267Q13283,0.726281
O00268Q13283,0.66166687
O00273Q13283,0.3359942
O00287Q13283,0.5360067
O00291Q13283,0.5347806
O00292Q13283,0.0
O00295Q13283,0.43434882
O00299Q13283,0.45935422
O00303Q13283,0.48208112
O00305Q13283,0.40389982
O00308Q13283,0.5822422
O00311Q13283,0.5089988
O00322Q13283,0.12073722
O00327Q13283,0.45063877
O00329Q13283,0.32553035
O00330Q13283,0.2400312
O00338Q13283,0.18624127
O00339Q13283,0.2107317
O00358Q13283,0.25874248
O00391Q13283,0.10865468
O00398Q13283,0.4701198
O00399Q13283,0.24673688
O00400Q13283,0.295259
O00401Q13283,0.71045357
O00408Q13283,0.4285547
O00409Q13283,0.43284193
O00410Q13283,0.58727163
O00411Q13283,0.2648429
O00418Q13283,0.4002067
O00421Q13283,0.16990462
O00422Q13283,0.67785084
O00423Q13283,0.32999456
O00425Q13283,0.7267897
O00429Q13283,0.3179861
O00442Q13283,0.5687774
O00443Q13283,0.54925096
O00444Q13283,0.7081927
O00445Q13283,0.26899904
O00458Q13283,0.09110768
O00459Q13283,0.36971197
O00461Q13283,0.32993144
O00462Q13283,0.0039548925
O00463Q13283,0.4189225
O00468Q13283,0.18178526
O00469Q13283,0.4444057
O00470Q13283,0.37204233
O00471Q13283,0.33960155
O00472Q13283,0.61057293
O00478Q13283,0.33135998
O00479Q13283,0.5367156
O00481Q13283,0.35821617
O00482Q13283,0.25616527
O00483Q13283,0.28287774
O00487Q13283,0.40129337
O00488Q13283,0.3634314
O00499Q13283,0.43944559
O00501Q13283,0.18128034
O00505Q13283,0.3973685
O00506Q13283,0.48820162
O00507Q13283,0.4836343
O00512Q13283,0.59419316
O00515Q13283,0.5135316
O00522Q13283,0.24631116
O00526Q13283,0.064167954
O00533Q13283,0.26071876
O00534Q13283,0.37144852
O00541Q13283,0.66639173
O00548Q13283,0.540042
O00555Q13283,0.087922364
O00559Q13283,0.60249156
O00560Q13283,0.36912185
O00562Q13283,0.4328186
O00566Q13283,0.6958716
O00567Q13283,0.75608647
O00570Q13283,0.5024081
O00571Q13283,0.73144776
O00584Q13283,0.10828958
O00585Q13283,0.26602587
O00587Q13283,0.18572865
O00590Q13283,0.22234556
O00592Q13283,0.3591143
O00602Q13283,0.09594776
O00622Q13283,0.46799904
O00623Q13283,0.34046057
O00624Q13283,0.22007568
O00625Q13283,0.49454984
O00626Q13283,0.21817279
O00628Q13283,0.25094384
O00629Q13283,0.6959603
O00635Q13283,0.46918815
O00712Q13283,0.5546113
O00716Q13283,0.54644024
O00743Q13283,0.37731054
O00744Q13283,0.11411263
O00746Q13283,0.42878944
O00748Q13283,0.35643688
O00750Q13283,0.47557512
O00754Q13283,0.32237604
O00755Q13283,0.3080974
O00757Q13283,0.11611523
O00762Q13283,0.29774505
O00763Q13283,0.48660308
O00764Q13283,0.30409238
O00767Q13283,0.3711523
O14490Q13283,0.19680852
O14492Q13283,0.25961977
O14493Q13283,0.216736
O14494Q13283,0.16613066
O14495Q13283,0.13292953
O14497Q13283,0.70119274
O14498Q13283,0.30098736
O14503Q13283,0.51033354
O14508Q13283,0.3234892
O14511Q13283,0.52581453
O14512Q13283,0.56951547
O14513Q13283,0.66106284
O14514Q13283,0.21670465
O14519Q13283,0.54057467
O14520Q13283,0.22027835
O14521Q13283,0.010804078
O14522Q13283,0.06732001
O14523Q13283,0.39349088
O14524Q13283,0.26644507
O14526Q13283,0.32249552
O14529Q13283,0.44824076
O14530Q13283,0.5625842
O14531Q13283,0.3610471
O14543Q13283,0.38462862
O14544Q13283,0.2792135
O14545Q13283,0.5443448
O14548Q13283,0.13005173
O14556Q13283,0.16778284
O14558Q13283,0.42496514
O14559Q13283,0.31146505
O14561Q13283,0.26916948
O14562Q13283,0.40700498
O14569Q13283,0.17367569
O14576Q13283,0.3317291
O14578Q13283,0.5568574
O14579Q13283,0.6182226
O14581Q13283,0.009624843
O14593Q13283,0.44624156
O14595Q13283,0.53070134
O14598Q13283,0.49149495
O14602Q13283,0.44813237
O14603Q13283,0.004944713
O14604Q13283,0.748411
O14607Q13283,0.3487233
O14613Q13283,0.3099842
O14617Q13283,0.49839538
O14618Q13283,0.38387483
O14627Q13283,0.21621713
O14628Q13283,0.30562025
O14633Q13283,0.25127745
O14638Q13283,0.3762508
O14639Q13283,0.438968
O14640Q13283,0.56312585
O14641Q13283,0.6338745
O14645Q13283,0.15760466
O14646Q13283,0.67743415
O14647Q13283,0.48092684
O14653Q13283,0.22603016
O14654Q13283,0.6268735
O14656Q13283,0.22845921
O14657Q13283,0.13067861
O14662Q13283,0.14831099
O14668Q13283,0.21999833
O14669Q13283,0.20758931
O14672Q13283,0.06395443
O14678Q13283,0.025230998
O14681Q13283,0.2759373
O14682Q13283,0.18274148
O14683Q13283,0.13437375
O14684Q13283,0.24805629
O14686Q13283,0.6067477
O14709Q13283,0.17593691
O14713Q13283,0.29662228
O14715Q13283,0.6455465
O14718Q13283,0.20575798
O14727Q13283,0.57245034
O14730Q13283,0.46845308
O14732Q13283,0.38227558
O14733Q13283,0.372209
O14734Q13283,0.46464664
O14735Q13283,0.4942487
O14737Q13283,0.47577447
O14744Q13283,0.711422
O14745Q13283,0.42386898
O14746Q13283,0.48660898
O14753Q13283,0.5455805
O14756Q13283,0.09640795
O14757Q13283,0.37571633
O14763Q13283,0.25772747
O14764Q13283,0.20323837
O14770Q13283,0.40113693
O14771Q13283,0.26778466
O14772Q13283,0.1901776
O14773Q13283,0.2457776
O14775Q13283,0.22379479
O14776Q13283,0.59469193
O14777Q13283,0.5899609
O14782Q13283,0.5851017
O14786Q13283,0.3623727
O14787Q13283,0.1967823
O14788Q13283,0.068921365
O14793Q13283,0.2227463
O14795Q13283,0.28097823
O14796Q13283,0.45656356
O14798Q13283,0.21959606
O14802Q13283,0.58315605
O14810Q13283,0.2630037
O14815Q13283,0.27450857
O14817Q13283,0.3316912
O14818Q13283,0.33160132
O14828Q13283,0.54143524
O14830Q13283,0.28974885
O14832Q13283,0.38411826
O14836Q13283,0.6119367
O14841Q13283,0.5539619
O14843Q13283,0.24198851
O14862Q13283,0.45656267
O14863Q13283,0.35459572
O14867Q13283,0.5558848
O14874Q13283,0.12764795
O14879Q13283,0.092090175
O14880Q13283,0.33266062
O14893Q13283,0.10323141
O14894Q13283,0.35316667
O14901Q13283,0.48290882
O14904Q13283,0.06470537
O14905Q13283,0.13651277
O14907Q13283,0.5485962
O14908Q13283,0.48512474
O14910Q13283,0.23206982
O14917Q13283,0.3001948
O14920Q13283,0.37901455
O14921Q13283,0.19878992
O14924Q13283,0.44214663
O14925Q13283,0.36402425
O14926Q13283,0.40050992
O14929Q13283,0.5527488
O14931Q13283,0.08335869
O14933Q13283,0.28884968
O14936Q13283,0.53126806
O14939Q13283,0.4791345
O14944Q13283,0.104237735
O14948Q13283,0.40235615
O14949Q13283,0.24388564
O14950Q13283,0.40225148
O14957Q13283,0.6989292
O14958Q13283,0.43609196
O14960Q13283,0.36540112
O14964Q13283,0.5423609
O14965Q13283,0.5680584
O14966Q13283,0.20516837
O14967Q13283,0.27552202
O14972Q13283,0.4408641
O14974Q13283,0.5512692
O14975Q13283,0.3391
O14976Q13283,0.6064892
O14977Q13283,0.39862117
O14978Q13283,0.43644986
O14979Q13283,0.69767964
O14980Q13283,0.6079457
O14981Q13283,0.4171196
O14983Q13283,0.46435952
O14986Q13283,0.38706994
O14990Q13283,0.25072342
O14994Q13283,0.7132424
O15013Q13283,0.29908466
O15014Q13283,0.6492838
O15015Q13283,0.61730236
O15020Q13283,0.35813674
O15021Q13283,0.6230831
O15027Q13283,0.6449266
O15031Q13283,0.08382647
O15033Q13283,0.13677725
O15034Q13283,0.3957379
O15037Q13283,0.15950404
O15040Q13283,0.34937736
O15041Q13283,0.038223665
O15042Q13283,0.6952751
O15047Q13283,0.592305
O15049Q13283,0.3248322
O15054Q13283,0.511124
O15055Q13283,0.52721155
O15056Q13283,0.6625374
O15060Q13283,0.42357278
O15061Q13283,0.49930224
O15062Q13283,0.47329172
O15063Q13283,0.40957817
O15066Q13283,0.5388614
O15067Q13283,0.62649894
O15068Q13283,0.22151618
O15069Q13283,0.5096362
O15072Q13283,0.41217366
O15075Q13283,0.5057355
O15078Q13283,0.44959325
O15079Q13283,0.08801721
O15083Q13283,0.5527732
O15084Q13283,0.6147431
O15085Q13283,0.37111574
O15090Q13283,0.5645612
O15091Q13283,0.3185717
O15105Q13283,0.32134715
O15111Q13283,0.4651731
O15116Q13283,0.6063952
O15117Q13283,0.4767859
O15118Q13283,0.07874115
O15119Q13283,0.53265345
O15120Q13283,0.15497936
O15121Q13283,0.13450623
O15123Q13283,0.24083212
O15126Q13283,0.33795816
O15127Q13283,0.3447928
O15131Q13283,0.40188375
O15143Q13283,0.47121948
O15144Q13283,0.46790868
O15145Q13283,0.5212712
O15146Q13283,0.2989315
O15151Q13283,0.4779528
O15155Q13283,0.10099752
O15156Q13283,0.61782104
O15160Q13283,0.5497006
O15162Q13283,0.29645842
O15164Q13283,0.56499106
O15165Q13283,0.61152923
O15169Q13283,0.55834836
O15173Q13283,0.32453707
O15182Q13283,0.09855366
O15194Q13283,0.20021062
O15195Q13283,0.33065182
O15197Q13283,0.123113036
O15198Q13283,0.43787456
O15205Q13283,0.07909416
O15209Q13283,0.55053824
O15211Q13283,0.3735628
O15212Q13283,0.52963954
O15213Q13283,0.6533106
O15217Q13283,0.42728466
O15218Q13283,0.4543005
O15226Q13283,0.7596168
O15228Q13283,0.45532617
O15229Q13283,0.1681946
O15230Q13283,0.07746318
O15231Q13283,0.37291586
O15232Q13283,0.1716084
O15234Q13283,0.65817904
O15235Q13283,0.53567284
O15239Q13283,0.32108983
O15240Q13283,0.15938535
O15243Q13283,0.23271342
O15244Q13283,0.24496958
O15245Q13283,0.0534619
O15247Q13283,0.2512495
O15254Q13283,0.52091545
O15258Q13283,0.47512484
O15259Q13283,0.312267
O15260Q13283,0.47714886
O15263Q13283,0.027309712
O15264Q13283,0.2710528
O15265Q13283,0.67103106
O15266Q13283,0.46809825
O15269Q13283,0.41532883
O15270Q13283,0.21503606
O15273Q13283,0.32507104
O15287Q13283,0.2971722
O15294Q13283,0.48557878
O15296Q13283,0.19468567
O15304Q13283,0.2591948
O15305Q13283,0.24698874
O15315Q13283,0.4475987
O15318Q13283,0.5107627
O15321Q13283,0.13370469
O15335Q13283,0.05183652
O15342Q13283,0.29473922
O15344Q13283,0.41445512
O15347Q13283,0.56834507
O15350Q13283,0.48575902
O15353Q13283,0.44516373
O15354Q13283,0.4393784
O15355Q13283,0.62674177
O15357Q13283,0.46660557
O15360Q13283,0.36211833
O15370Q13283,0.32376117
O15371Q13283,0.6166323
O15372Q13283,0.5480048
O15374Q13283,0.11693078
O15375Q13283,0.15600626
O15379Q13283,0.56172466
O15381Q13283,0.6856239
O15382Q13283,0.34071192
O15389Q13283,0.43474334
O15391Q13283,0.2604685
O15392Q13283,0.47593752
O15393Q13283,0.22913913
O15394Q13283,0.27902454
O15397Q13283,0.5336236
O15400Q13283,0.46518502
O15403Q13283,0.42198777
O15405Q13283,0.46733934
O15409Q13283,0.3749211
O15417Q13283,0.4740084
O15427Q13283,0.42605028
O15431Q13283,0.4203957
O15432Q13283,0.2182379
O15438Q13283,0.21307394
O15439Q13283,0.13479187
O15440Q13283,0.4807976
O15442Q13283,0.33549705
O15444Q13283,0.1686356
O15446Q13283,0.7523012
O15455Q13283,0.2425412
O15460Q13283,0.556541
O15466Q13283,0.013854161
O15467Q13283,0.3096348
O15479Q13283,0.721852
O15480Q13283,0.30074593
O15481Q13283,0.5667225
O15482Q13283,0.4472238
O15484Q13283,0.30132052
O15488Q13283,0.383614
O15496Q13283,0.4294846
O15498Q13283,0.45597667
O15499Q13283,0.45603856
O15503Q13283,0.38478255
O15504Q13283,0.71156365
O15511Q13283,0.42336926
O15514Q13283,0.49058133
O15516Q13283,0.40203848
O15519Q13283,0.15722752
O15520Q13283,0.09541216
O15523Q13283,0.71583956
O15524Q13283,0.39367446
O15525Q13283,0.49435988
O15527Q13283,0.21325774
O15528Q13283,0.0888619
O15529Q13283,0.2560187
O15530Q13283,0.22105515
O15533Q13283,0.08195782
O15534Q13283,0.39938325
O15535Q13283,0.05159741
O15539Q13283,0.18370388
O15540Q13283,0.2842854
O15541Q13283,0.62998194
O15544Q13283,0.3521593
O15547Q13283,0.3133301
O15550Q13283,0.26541013
O15551Q13283,0.40801668
O15552Q13283,0.34783155
O15554Q13283,0.08704434
O43143Q13283,0.68746746
O43147Q13283,0.1180438
O43148Q13283,0.59709877
O43149Q13283,0.51899034
O43150Q13283,0.46237507
O43151Q13283,0.46883702
O43156Q13283,0.2861821
O43157Q13283,0.23218565
O43159Q13283,0.709534
O43164Q13283,0.6220064
O43166Q13283,0.5578739
O43167Q13283,0.53685606
O43169Q13283,0.38686198
O43172Q13283,0.6111743
O43173Q13283,0.31728506
O43174Q13283,0.017550733
O43175Q13283,0.37542766
O43181Q13283,0.4433538
O43184Q13283,0.29103082
O43186Q13283,0.6432019
O43187Q13283,0.3563088
O43189Q13283,0.47432223
O43193Q13283,0.33679682
O43196Q13283,0.08647034
O43236Q13283,0.26713195
O43237Q13283,0.4866538
O43240Q13283,0.27162558
O43242Q13283,0.4675091
O43247Q13283,0.4007072
O43248Q13283,0.34080952
O43251Q13283,0.61754525
O43252Q13283,0.5309161
O43255Q13283,0.4323817
O43257Q13283,0.36709124
O43264Q13283,0.41454428
O43272Q13283,0.12988503
O43278Q13283,0.4045702
O43280Q13283,0.010525847
O43281Q13283,0.4669934
O43283Q13283,0.33681774
O43286Q13283,0.037942477
O43290Q13283,0.7263874
O43291Q13283,0.4509995
O43292Q13283,0.15956324
O43293Q13283,0.51683104
O43294Q13283,0.112551965
O43295Q13283,0.5819339
O43296Q13283,0.3003762
O43298Q13283,0.34304097
O43299Q13283,0.15565075
O43300Q13283,0.087751925
O43301Q13283,0.40708917
O43303Q13283,0.60211986
O43304Q13283,0.14593436
O43306Q13283,0.04929665
O43307Q13283,0.39708847
O43309Q13283,0.27313197
O43310Q13283,0.41586667
O43312Q13283,0.18426654
O43313Q13283,0.48485684
O43314Q13283,0.54899347
O43315Q13283,0.31603536
O43316Q13283,0.41620868
O43318Q13283,0.41595712
O43320Q13283,0.36615348
O43323Q13283,0.21846576
O43324Q13283,0.45435825
O43347Q13283,0.6802106
O43353Q13283,0.32234132
O43361Q13283,0.05319353
O43365Q13283,0.32363975
O43379Q13283,0.39617
O43390Q13283,0.7769438
O43395Q13283,0.72885215
O43396Q13283,0.5662445
O43399Q13283,0.30135024
O43402Q13283,0.40017372
O43405Q13283,0.14260349
O43414Q13283,0.30096096
O43422Q13283,0.58780026
O43426Q13283,0.7057433
O43427Q13283,0.33086577
O43432Q13283,0.6340148
O43435Q13283,0.46005926
O43439Q13283,0.5530673
O43447Q13283,0.49502128
O43448Q13283,0.23389368
O43451Q13283,0.2946722
O43462Q13283,0.019012911
O43463Q13283,0.5209669
O43464Q13283,0.37065133
O43474Q13283,0.52020055
O43482Q13283,0.434227
